商品名,価格（税込）,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミン A,ビタミン B1,ビタミン B2,ビタミン C
ジューシー鶏カツソースあんかけ,374円,392kcal,14.9g,24.9g,28.4g,2.0g,34mg,53g,1.1mg,27μg,0.10mg,0.12mg,17mg
ローストンカツおろしソース,330円,408kcal,15.5g,26.1g,27.2g,2.4g,29mg,49g,0.6mg,7μg,0.42mg,0.10mg,17mg
ササミチーズタルタルソース,286円,449kcal,14.4g,32.7g,25.6g,1.9g,88mg,33g,0.6mg,36μg,0.07mg,0.10mg,15mg
ハンバーグペッパーソース,286円,241kcal,15.3g,11.1g,19.6g,2.1g,47mg,56g,1.4mg,23μg,0.13mg,0.13mg,16mg
牛肉黒胡椒炒め,330円,248kcal,10.1g,19.2g,13.5g,2.2g,62mg,188g,1.6mg,16μg,0.11mg,0.12mg,49mg
豚すき煮,286円,261kcal,21.0g,14.4g,14.3g,2.3g,87mg,77g,2.7mg,59μg,0.52mg,0.29mg,14mg
ホッケ南蛮漬け,242円,128kcal,8.3g,4.0g,15.2g,1.7g,17mg,22g,0.4mg,13μg,0.11mg,0.08mg,3mg
鯖味噌煮,242円,209kcal,10.0g,15.1g,6.7g,0.7g,8mg,0g,0.6mg,25μg,0.08mg,0.20mg,1mg
若布コーンサラダ,121円,48kcal,2.1g,0.7g,10.8g,0.0g,35mg,80g,0.3mg,8μg,0.06mg,0.04mg,18mg
焼き餃子,143円,117kcal,4.2g,6.3g,11.1g,0.7g,14mg,12g,0.4mg,7μg,0.95mg,0.03mg,4mg
オクラ巣ごもり玉子,99円,94kcal,7.8g,6.4g,3.4g,0.7g,60mg,33g,1.4mg,108μg,0.06mg,0.25mg,2mg
そぼろきんぴらごぼう,99円,95kcal,6.6g,2.5g,11.4g,0.9g,39mg,23g,1.0mg,2μg,0.08mg,0.05mg,1mg
ほうれん草ひじき和え,99円,61kcal,5.2g,2.1g,5.4g,0.7g,59mg,23g,0.8mg,111μg,0.02mg,0.05mg,4mg
さっぱり揚げ出し茄子,99円,139kcal,1.3g,12.1g,8.1g,0.8g,23mg,93g,0.4mg,2μg,0.05mg,0.03mg,7mg
やみつきキャベツ,99円,50kcal,1.2g,2.5g,6.9g,0.5g,32mg,79g,0.2mg,3μg,0.04mg,0.03mg,29mg
ほうれん草,77円,14kcal,1.8g,0.2g,2.1g,0.2g,63mg,63g,0.8mg,275μg,0.04mg,0.08mg,12mg
だし巻き,77円,98kcal,6.2g,6.1g,3.5g,1.0g,25mg,0g,0.8mg,111μg,0.04mg,0.04mg,0mg
千切り煮,77円,28kcal,1.3g,0.8g,4.0g,0.6g,29mg,36g,0.3mg,39μg,0.01mg,0.01mg,0mg
ポテトサラダ,77円,98kcal,0.9g,6.0g,10.0g,0.6g,3mg,3g,0.1mg,16μg,0.03mg,0.01mg,6mg
冷奴,55円,47kcal,4.4g,2.9g,2.0g,0.1g,26mg,1g,1.0mg,1μg,0.09mg,0.03mg,8mg
ミニサラダ,55円,6kcal,0.3g,0.1g,1.6g,0.0g,11mg,33g,0.1mg,7μg,0.01mg,0.01mg,9mg
豚汁,121円,91kcal,5.4g,3.4g,9.9g,1.5g,29mg,54g,0.8mg,110μg,0.16mg,0.07mg,4mg
味噌汁,44円,38kcal,2.1g,1.9g,2.8g,1.2g,28mg,0g,0.5mg,1μg,0.00mg,0.01mg,0mg
パイタンうどん,396円,430kcal,12.8g,8.1g,76.1g,6.7g,30mg,5g,0.7mg,17μg,0.08mg,0.07mg,2mg
温玉ぶっかけうどん,352円,410kcal,14.5g,7.7g,71.9g,3.3g,57mg,5g,1.9mg,94μg,0.08mg,0.27mg,21mg
温玉ぶっかけそば,352円,400kcal,20.6g,8.4g,62.0g,2.5g,57mg,5g,2.8mg,94μg,0.13mg,0.28mg,21mg
きつねうどん,352円,431kcal,13.3g,7.3g,78.1g,4.9g,79mg,5g,1.3mg,6μg,0.06mg,0.06mg,2mg
きつねそば,352円,421kcal,19.4g,8.0g,68.2g,4.1g,79mg,5g,2.2mg,6μg,0.11mg,0.07mg,2mg
かけうどん,264円,331kcal,7.5g,1.3g,72.4g,4.2g,26mg,5g,0.7mg,6μg,0.05mg,0.05mg,2mg
かけそば,264円,321kcal,13.6g,2.0g,62.5g,3.4g,26mg,5g,1.6mg,6μg,0.10mg,0.06mg,2mg
こってりラーメン（鶏白湯）,506円,605kcal,21.8g,24.8g,76.8g,7.2g,52mg,5g,1.2mg,51μg,0.22mg,0.15mg,2mg
焦がしニンニク豚丼小,495円,527kcal,18.8g,16.7g,79.3g,2.0g,22mg,47g,0.7mg,7μg,0.43mg,0.24mg,5mg
本格麻婆丼中,中440円 小385円 大495円,657kcal,21.3g,18.8g,106.0g,3.4g,80mg,5g,3.2mg,39μg,0.32mg,0.16mg,2mg
唐揚げ玉子あんかけ丼中,中440円 小385円 大495円,722kcal,20.0g,22.1g,111.6g,3.3g,25mg,0g,1.0mg,59μg,0.14mg,0.25mg,3mg
唐揚げカレー中,中440円 小385円 大495円,823kcal,20.1g,26.7g,126.1g,5.4g,43mg,12g,1.8mg,72μg,0.16mg,0.15mg,2mg
カレーライス中,中319円 小264円 大374円,566kcal,10.5g,10.6g,109.9g,3.8g,37mg,12g,1.3mg,53μg,0.09mg,0.06mg,1mg
ライス中,中126円 小105円 大147円,374kcal,6.0g,0.7g,89.0g,0.0g,7mg,0g,0.2mg,0μg,0.05mg,0.02mg,0mg
塩キャラメルパンケーキ,132円,164kcal,3.6g,10.2g,14.7g,0.5g,17mg,0g,0.1mg,11μg,0.02mg,0.06mg,51mg
フルーツヨーグルト,132円,78kcal,2.7g,2.2g,12.9g,0.1g,89mg,0g,0.1mg,29μg,0.04mg,0.10mg,20mg
大学芋,110円,157kcal,0.6g,3.2g,31.7g,0.0g,15mg,0g,0.3mg,1μg,0.05mg,0.03mg,10mg
