カテゴリー,商品名,価格（税込）,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,カルシウム,野菜量,鉄,ビタミン A,ビタミン B1,ビタミン B2,ビタミン C
主菜,ローストチキンおろしソース,385円,227kcal,17.7g,14.4g,7.2g,1.9g,23mg,40g,0.9mg,41μg,0.11mg,0.18mg,14mg
主菜,豚肉の生姜焼き,297円,240kcal,19.6g,14.7g,9.2g,1.6g,15mg,50g,0.8mg,5μg,0.68mg,0.25mg,7mg
主菜,ささみチーズカツさっぱりタルタル,297円,380 kcal,14.7 g,25.2 g,24.5 g,1.6 g,100 mg,15 g,0.5 mg,46μg,0.08 mg,0.13 mg,12mg
主菜,鶏と野菜のトマト煮込み,297円,219kcal,10.8g,7.4g,28.4g,1.7g,52mg,131g,1.3mg,175μg,0.17mg,0.16mg,32mg
主菜,ハンバーグデミソース,253円,237kcal,15.0g,12.8g,14.3g,1.7g,35mg,23g,1.3mg,25μg,0.13mg,0.12mg,2mg
主菜,かつおカツおろしソース,253円,319kcal,9.2g,19.9g,25.9g,2.0g,18mg,27g,0.9mg,5μg,0.06mg,0.06mg,1mg
主菜,さば味噌煮,253円,272kcal,13.0g,19.5g,8.8g,1.0g,10mg,0g,0.8mg,32μg,0.10mg,0.25mg,1mg
副菜,焼き餃子,154円,117 kcal,4.2 g,6.3 g,11.1 g,0.7 g,14 mg,12 g,0.4 mg,7μg,0.95 mg,0.03 mg,4mg
副菜,マカロニコーンサラダ,132円,113kcal,2.3g,6.6g,12.7g,0.4g,22mg,62g,0.4mg,18μg,0.06mg,0.03mg,17mg
副菜,オクラ巣ごもり玉子,132円,81kcal,6.7g,5.5g,3.0g,0.6g,57mg,33g,1.2mg,96μg,0.06mg,0.22mg,2mg
副菜,鉄分たっぷり鶏きも煮,99円,73kcal,7.8g,1.9g,5.5g,1.2g,4mg,0g,2.8mg,5476μg,0.14mg,0.63mg,7mg
副菜,茄子のピリ辛胡麻風味,99円,97kcal,0.7g,7.8g,6.7g,0.8g,5mg,40g,0.2mg,1μg,0.03mg,0.02mg,1mg
副菜,やみつきキャベツ,99円,49kcal,0.9g,2.5g,6.5g,0.5g,30mg,79g,0.1mg,4μg,0.02mg,0.02mg,12mg
副菜,蒸し鶏とわかめの生姜ポン酢,99円,38 kcal,6.9 g,0.6 g,2.5 g,1.5 g,21 mg,24 g,0.2 mg,6μg,0.03 mg,0.05 mg,4mg
副菜,ほうれん草胡麻和え,77円,30kcal,1.9g,1.3g,3.8g,0.5g,54mg,50g,0.7mg,225μg,0.04mg,0.06mg,10mg
副菜,きんぴらごぼう,77円,39kcal,0.8g,0.9g,7.0g,0.6g,17mg,32g,0.2mg,78μg,0.02mg,0.02mg,1mg
副菜,ポテトサラダ,77円,98kcal,0.9g,6.0g,10.0g,0.6g,3mg,3g,0.1mg,9μg,0.03mg,0.01mg,6mg
副菜,ミニサラダ,77円,8kcal,0.3g,0.0g,1.9g,0.0g,13mg,40g,0.1mg,7μg,0.01mg,0.01mg,10mg
副菜,さっぱり豚汁,110円,58kcal,3.8g,2.3g,7.1g,1.5g,15mg,40g,0.3mg,64μg,0.12mg,0.04mg,3mg
副菜,味噌汁,44円,24kcal,1.6g,0.8g,3.0g,1.7g,14mg,0g,0.2mg,1μg,0.01mg,0.04mg,0mg
麺類,冷やしかき揚げおろしうどん,517円,463kcal,12.1g,4.3g,94.3g,4.7g,51mg,64g,1.0mg,83μg,0.15mg,0.08mg,8mg
麺類,冷やしかき揚げおろしそば,517円,438kcal,17.3g,4.7g,81.8g,4.3g,56mg,64g,2.3mg,83μg,0.25mg,0.11mg,8mg
麺類,きつねうどん,396円,446kcal,14.6g,8.0g,79.1g,4.9g,74mg,5g,1.4mg,6μg,0.11mg,0.06mg,2mg
麺類,きつねそば,396円,421kcal,19.8g,8.4g,66.6g,4.5g,79mg,5g,2.7mg,6μg,0.21mg,0.09mg,2mg
麺類,かけうどん,308円,346kcal,8.8g,2.0g,73.4g,4.2g,21mg,5g,0.7mg,6μg,0.10mg,0.05mg,2mg
麺類,かけそば,308円,321kcal,14.0g,2.4g,60.9g,3.8g,26mg,5g,2.0mg,6μg,0.20mg,0.08mg,2mg
麺類,スタミナ冷やしまぜそば,594円,519 kcal,27.5 g,10.0 g,78.9 g,5.7 g,40 mg,5 g,1.7 mg,50μg,0.22 mg,0.20 mg,3mg
麺類,とんこつラーメン,473円,489kcal,17.9g,13.8g,72.5g,7.1g,31mg,20g,1.1mg,9μg,0.24mg,0.10mg,2mg
